Message ID,Received At,Processed At,Task ID,Error Rate,Date,Detailed Report,,,,,,,,,,,,,,,,,,,
0c89a7fc693ea5aae197cac31847dd44,5/26/2018 6:20:06,43246.27603,5ab3e48f2407910043f994fb,17.95%,"Fri, May 25, 2018 at 9:35 AM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180321_111705_00002/1912.0_1942.0/qa_report.json,,,,,,,,,,,,,,,,,,,
b4f7726bc32b9fe41685653f950047c2,43246.27808,43246.27814,5ab0bfc314bcf000143be4b7,19.34%,"Fri, May 25, 2018 at 9:52 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180319_094854_00002/2908.0_2938.0/qa_report.json,,,,,,,,,,,,,,,,,,,
41e56e0488f520000462f586445a501c,43246.2848,43246.28497,5a8eaf6bf24863003c30be31,43.00%,"Wed, May 23, 2018 at 6:15 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180219_214758_00004/3400.0_3430.0/qa_report.json,,,,,,,,,,,,,,,,,,,
eaac61fa42c4362b34cee94a0c519206,43246.28464,43246.28498,5ab4ed9bee0e300019dca323,37.72%,"Thu, May 24, 2018 at 10:45 AM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180322_102613_00002/2992.0_3022.0/qa_report.json,,,,,,,,,,,,,,,,,,,
aa38d64b4c99a63b0c8bd9ff82c04f0c,43246.28477,43246.28498,5ad768b952c62e00199ec216,15.80%,"Tue, May 22, 2018 at 3:20 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180327_223224_00004/2182.0_2212.0/qa_report.json,,,,,,,,,,,,,,,,,,,
b7b2fd90b8275421dbdded16cfebd8b1,43246.28492,43246.28498,5a7305f6da1ddd00277275a8,16.34%,"Wed, May 23, 2018 at 2:45 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180119_091629_00004/453.0_483.0/qa_report.json,,,,,,,,,,,,,,,,,,,
6af793405b67345f33bdda6b4318e36f,2018-05-26T07:08:05+00:00,2018-05-26T07:40:19+00:00,5ad768b952c62e00199ec216,15.80%,"Tue, May 22, 2018 at 3:20 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180327_223224_00004/2182.0_2212.0/qa_report.json,,,,,,,,,,,,,,,,,,,
ae3d5dd424924c4a59a73b1554484477,2018-05-26T07:08:15+00:00,2018-05-26T07:40:10+00:00,5a7305f6da1ddd00277275a8,16.34%,"Wed, May 23, 2018 at 2:45 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180119_091629_00004/453.0_483.0/qa_report.json,,,,,,,,,,,,,,,,,,,
facdfc4a8f5fd5708d95615457e04da1,2018-05-26T07:08:13+00:00,2018-05-26T07:40:19+00:00,5ab4ed9bee0e300019dca323,37.72%,"Thu, May 24, 2018 at 10:45 AM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180322_102613_00002/2992.0_3022.0/qa_report.json,,,,,,,,,,,,,,,,,,,
4feb38fad831f2de1dd0e3cb505a941e,2018-05-26T07:08:21+00:00,2018-05-26T07:40:18+00:00,5a8eaf6bf24863003c30be31,43.00%,"Wed, May 23, 2018 at 6:15 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180219_214758_00004/3400.0_3430.0/qa_report.json,,,,,,,,,,,,,,,,,,,
c64a4cf974b9dcd48b356eb748d2345d,2018-05-27T17:01:59+00:00,2018-05-27T17:02:02+00:00,5ac8c38bd47077003f36a183,10.92%,"Fri, May 25, 2018 at 4:25 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180312_204930_00005/1292.0_1322.0/qa_report.json,,,,,,,,,,,,,,,,,,,
21d36a1a11570f776af8962f42256dd9,2018-05-27T17:02:23+00:00,2018-05-27T17:02:30+00:00,5a79f1363b3bb2002789df07,12.74%,"Thu, May 24, 2018 at 5:10 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180131_134039_00005/4394.0_4424.0/qa_report.json,,,,,,,,,,,,,,,,,,,
3cf430e76c4f8d29737398725fb24879,2018-05-27T17:02:46+00:00,2018-05-27T17:02:52+00:00,5a721653b40803002e433247,21.54%,"Thu, May 24, 2018 at 4:50 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180118_145044_00004/1450.0_1480.0/qa_report.json,,,,,,,,,,,,,,,,,,,
b5964aaab03032739ce13172b53812b7,2018-05-27T17:02:53+00:00,2018-05-27T17:02:55+00:00,5a79f387642f7a003c7abeb5,15.61%,"Thu, May 24, 2018 at 4:15 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180103_093645_00005/484.0_514.0/qa_report.json,,,,,,,,,,,,,,,,,,,
c8db18f3d7f155b8d8c7853ddbece0cd,2018-05-27T17:03:07+00:00,2018-05-27T17:03:14+00:00,5ab360415aaab40035e92ecc,30.70%,"Thu, May 24, 2018 at 3:05 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180321_075414_00002/858.0_888.0/qa_report.json,,,,,,,,,,,,,,,,,,,
f53b50639cd467dc720dc45cec741d60,2018-05-27T17:03:17+00:00,2018-05-27T17:03:23+00:00,5a7c3752f1668800198d679d,13.85%,"Wed, May 23, 2018 at 7:00 PM",https://s3-us-west-1.amazonaws.com/6876.forscaleapi/20180125_081223_00004/832.0_862.0/qa_report.json,,,,,,,,,,,,,,,,,,,
